승강기주소1,승강기주소2,건물명,엘베번호,적재하중,제조업체 전화번호
서울특별시 은평구 연서로 71,(역촌동),(재)살림이,0081201,550 KG,055-269-4114
서울특별시 은평구 통일로71길 16,(대조동),(주)KT 은평지사,0042569,1150 KG,055-289-8235
서울특별시 은평구 통일로71길 16,(대조동),(주)KT 은평지사,0042570,1150 KG,055-289-8235
서울특별시 은평구 은평로13길 12-1,해명빌딩 (녹번동),(주)녹번해명(해명빌딩),0104893,1150 KG,043-722-1000
서울특별시 은평구 은평로13길 12-1,해명빌딩 (녹번동),(주)녹번해명(해명빌딩),0004213,2000 KG,032-815-7871
서울특별시 은평구 응암로 165,(응암동),(주)사과마을,0120103,1600 KG,043-722-1000
서울특별시 은평구 통일로 874,(불광동),(주)연신개발(연신빌딩),0068472,750 KG,055-289-8235
서울특별시 은평구 통일로66길 6-10,(불광동),115하우스,0083623,550 KG,02-2007-5800
서울특별시 은평구 은평로 210,(응암동),A.G.M빌딩,0004227,550 KG,043-722-1000
서울특별시 은평구 은평로 210,(응암동),A.G.M빌딩,0103615,2000 KG,x
서울특별시 은평구 통일로87길 14,(갈현동),A1빌딩,0041811,750 KG,02-2007-5800
서울특별시 은평구 통일로 585-1,(응암동),AVENUE호텔,0105742,900 KG,043-722-1000
서울특별시 은평구 통일로 585-1,(응암동),AVENUE호텔,0105743,600 KG,043-722-1000
서울특별시 은평구 은평로2길 6-18,(신사동),A플러스 빌,0103174,600 KG,043-722-1000
서울특별시 은평구 통일로 689-7,(녹번동),B.L 빌리지,0120304,600 KG,043-722-1000
서울특별시 은평구 연서로 520,(진관동),BC빌딩,0138790,1000 KG,043-722-1000
서울특별시 은평구 연서로13길 29-6 (구산동), ,BOMIN ASTRO,0150214,900 KG,02-6670-2152
서울특별시 은평구 통일로71길 6,(대조동),Babyjjam,0074954,1000 KG,02-2610-7869
서울특별시 은평구 통일로53길 9-6,C.H.L연립주택 ,C.H.L연립주택,0039283,450 KG,02-867-5337
서울특별시 은평구 서오릉로 30,(녹번동),C.S 아르체,0125129,1000 KG,02-2056-1117
서울특별시 은평구 서오릉로 30,(녹번동),C.S 아르체,0120302,900 KG,02-2056-1117
서울특별시 은평구 서오릉로 30,(녹번동),C.S 아르체,0120303,900 KG,02-2056-1117
서울특별시 은평구 은평로 91,(응암동),CJ드림시티오피스텔,0041739,1150 KG,02-771-7490
서울특별시 은평구 은평로 91,(응암동),CJ드림시티오피스텔,0041737,1150 KG,02-771-7490
서울특별시 은평구 은평로 91,(응암동),CJ드림시티오피스텔,0041738,600 KG,02-771-7490
서울특별시 은평구 불광로 55,(불광동),CML큐브,0129256,550 KG,043-722-1000
서울특별시 은평구 응암로 308,(응암동),CM빌딩,0080675,900 KG,043-722-1000
서울특별시 은평구 갈현로 141,(구산동),CN빌,0006130,550 KG,055-289-8235
서울특별시 은평구 연서로20길 13,"(대조동, 씨티뷰)",CN씨티뷰,0073834,550 KG,02-2610-7869
서울특별시 은평구 진흥로 183,(대조동),CS모텔,0084992,550 KG,02-2007-5800
서울특별시 은평구 진흥로9길 8-4, (역촌동),CS아르체,0089125,630 KG,02-2610-7869
서울특별시 은평구 역말로9가길 8-1,(대조동),CS아르체,0116380,550 KG,02-2610-7869
서울특별시 은평구 응암로21가길 1-7,(응암동),CS아르체,0088931,630 KG,02-2610-7869
서울특별시 은평구 불광동 281-76, ,D&J아파트,0152633,1000 KG,043-722-1000
서울특별시 은평구 불광로 50-5,(불광동),D&J하우징,0136892,900 KG,043-722-1000
서울특별시 은평구 통일로78길 11-7,(불광동),D&J하우징,0125354,900 KG,043-722-1000
서울특별시 은평구 통일로 708-7,(불광동),D.U 모텔,0084748,450 KG,055-289-8235
서울특별시 은평구 서오릉로 12,(녹번동),DH PALACE TOWER,0146060,1000 KG,043-722-1000
서울특별시 은평구 갈현로15길 20,"(구산동, DH팰리스)",DH팰리스,0113823,750 KG,02-2007-5800
서울특별시 은평구 은평로21길 16-1,(녹번동),DH팰리스 A동,0116397,550 KG,02-2610-7869
서울특별시 은평구 은평로21길 16, ,DH팰리스 B동,0116398,550 KG,02-2610-7869
서울특별시 은평구 역말로 37-6,(역촌동),DK아파트,0038838,1000 KG,031-498-7777
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150066,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150067,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150065,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150016,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150017,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150018,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150019,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150041,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150042,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150136,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150137,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150138,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150139,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150068,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150069,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150046,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150343,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150181,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150182,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150183,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150184,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150344,1000 KG,02-2610-7869
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152585,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152587,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152584,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152586,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152612,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150171,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150172,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150173,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150174,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150193,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150194,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150188,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150189,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150190,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150191,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150235,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150236,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150233,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150234,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150414,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150415,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150416,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150417,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150418,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150419,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150420,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150491,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150492,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150493,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150486,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150487,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150488,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150331,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150332,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150333,1000 KG,043-722-1000
서울특별시 은평구 수색로22가길 5-1,"(수색동, DMC 갤러리아 B)",DMC갤러리아B동,0146088,1000 KG,043-722-1000
